id_resto;name;category;latitude;longitude;harga_terendah;harga_tertinggi;description;reviews_count;;;;;;;;;;;;;;;;;;;;;;
1;Okuzono Japanese Dining;Restoran Izakaya;-62.336.888;1.067.739.193;;250000;Restoran izakaya Jepang dengan nuansa elegan & taman Zen yang tenang.;10;;;;;;;;;;;;;;;;;;;;;;
2;Yakiniku Great Jakarta;Restoran Jepang;-62.336.888;1.067.739.193;;250000;N/A;10;;;;;;;;;;;;;;;;;;;;;;
3;Wasai Japanese Dining;Restoran Jepang;-62.336.888;1.067.739.193;N/A;N/A;N/A;10;;;;;;;;;;;;;;;;;;;;;;
4;Fūjin - Japanese Teppanyaki & Sake;Restoran Jepang;-62.336.888;1.067.739.193;;250000;Restoran Jepang elegan yang menggabungkan gaya tradisional dan simpel, serta bar sake.;10;;;;;;;;;;;;;;;;;;;;;;
5;Kintaro Sushi Senopati;Restoran Jepang;-62.336.888;1.067.739.193;N/A;N/A;Restoran Jepang minimalis yang menyajikan hidangan inovatif,  mulai dari sushi & sashimi hingga daging Wagyu.;10;;;;;;;;;;;;;;;;;;;;;;
6;3 Wise Monkeys;Restoran Jepang;-62.336.888;1.067.739.193;;250000;Restoran Jepang santai yang menawarkan hidangan sushi & sashimi, termasuk opsi makan sepuasnya.;10;;;;;;;;;;;;;;;;;;;;;;
7;Sushi Hiro Hang Tuah Jakarta;Restoran Jepang;-62.336.888;1.067.739.193;N/A;N/A;N/A;10;;;;;;;;;;;;;;;;;;;;;;
9;Hiyoko;Restoran Jepang;-62.336.888;1.067.739.193;N/A;N/A;N/A;10;;;;;;;;;;;;;;;;;;;;;;
11;Shabu Shiro;Restoran Jepang;-62.336.888;1.067.739.193;N/A;N/A;N/A;10;;;;;;;;;;;;;;;;;;;;;;
14;Shikaku Japanese Restaurant Jakarta;Restoran Jepang;-62.336.888;1.067.739.193;;250000;N/A;10;;;;;;;;;;;;;;;;; Rp 50–75 rb; Rp 250.000+; Rp 250.000+; Rp 250.000+; Rp 50–75 rb; Rp 250.000+,N/A,10
15;Yawara Private Dining;Restoran Jepang;-62.336.888;1.067.739.193;;250000;Hidangan Jepang mewah dari daging sapi wagyu hingga sashimi yang disajikan di restoran yang tenang dan santai.;10;;;;;;;;;;;;;;;;;;;;;;
