review_id;user_id;restaurant_id;review_text;rating;timestamp
1;1;1;Makanan no comment, enak semua rasa di atas rata-rata resto sushi yg ada di dalam Mall. Yang sangat disayangkan di resto sebesar dan seluas ini tidak ada fasilitas …;3;23/07/24 23.17
2;2;1;Sudah hits dari awal kehadirannya, okuzono salah satu resto jepang favorit saya yang menyita perhatian melalui interiornya yang kental dengan suasana jepang. Beragam tipe tempat duduk bisa dipilih, kebanyakan menawarkan area private, baik …;5;17/04/25 15.58
3;3;1;Selalu favorit makan di sini untuk lunch, karena deket dari kantor dan enak untuk jd meeting point.. Service selalu okay, pengetahuan waiter/waitress untuk menu sgt baik, paham dan …;4;14/09/24 05.19
4;4;1;Wahh bagus banget restorannya 😍 makanannya enak banget dan banyak pilihan 😚 pelayanan maksimal pakai kolmi paging system 🥰 …;5;01/06/25 21.21
5;5;1;Dear Okuzono Team 🙏 It was a great momment at Okuzono jl. Suryo 🙏 saya dan suami dining dapat wonderful service ❤️ …;4;25/03/25 03.04
6;6;1;Salmon sashimi mentahnya fresh, tamago Yaki nya isi unagi enak banget. Tidak kecewa makan disini. Lebih bagus suasana nya kalo lunch untuk foto. Cuma parkir nya kecil. Disarankan pakai supir kalo kesini. Bawa mobil sndr susah cari parkir nya;5;10/08/24 03.53
7;7;1;IG @jessica_sisy @jktculinarydiary . Pas ke sini lunch time rame bgt. Better reserve sih. Makanannya ada ala carte …;5;10/07/25 02.02
8;8;1;Areanya luas, interior unik dan ada ruang untuk meeting. Makanan, minuman enak, tersedia area Bar juga.;4;09/09/24 01.20
9;9;1;Never failed with this place! Kesekian kali makan di sini, selalu enak fresh so comfort food! Pelayanannya sangat bagus, meski kadang kalau handled by trainee suka sekip.. …;4;18/11/24 15.46
10;10;1;Ini adalah restoran Jepang dengan suasana yang cukup menarik. Meski agak gelap, tapi tetap elegan. Ada banyak pilihan tempat duduk di sini, bisa di dalam ruang kecil untuk berempat, bisa di meja biasa, di meja bar, atau bisa juga di depan …;3;09/06/25 07.49
11;1;2;Great service!! ❤️❤️❤️❤️❤️ Arigatou Mas Deden 🫶🏼 …;5;27/12/24 18.13
12;2;2;bagi beef lovers harus datang cobain ke Yakiniku Great . Bener-bener dagingnya lembut kualitas premium paling bagus ,aromanya wangi . pokoknya enak the best menu-menu makanan disini . recommended 👍👌 …;3;27/10/24 23.49
13;3;2;JUARAAA!! dagingnya enak banget dan makanan lainnya juga enak. Good service from Mas Hasbi yang handle meja kita. Thank youuu;3;27/11/24 16.18
14;4;2;Enakkk banget semua makanan nyaa. Service nya jg bagus - terutama Mas Hasbi. ✨👍🏻 …;5;20/08/24 21.28
15;5;2;Semua makanannya enak. Kualitas dagingnya sangat bagus. Pelayanannya juga sangat baik.;4;12/08/24 00.31
16;6;2;Pertama kali cobain omakase disini baru buka sebulan. Banyak cabang di japan dll. Memuaskan sih dan kirain menunya dikit surprisingly kenyang ! Aku ambil paket OMAKASE MATSU. …;5;17/08/24 19.03
17;7;2;お任せ omakase style yakiniku Omakase artinya terserah chef maunya gimana, and if you already surrender 🤭 means should be very very good …;5;17/08/24 20.36
18;8;2;Nyobain omakasenya disini enak banget. Mas Hasbi juga servicenya oke banget. Bakal balik lagi fix;5;14/07/25 18.26
19;9;2;Makan malam terenak, di layani dengan kak tika pelayanan nya sangat baik dan memuaskan 👍 Amazing 😍 …;4;23/12/24 15.33
20;10;2;Pelayanan nya bagus apalagi mba mentari sangat baik dan ramah, detail utk penjelasan setiap menu, menunya juga enak enak semua, pokoknya the best for yakiniku great...👍👍 …;3;30/10/24 20.14
21;1;3;Jujur, aku agak kecewa kali ini karena menu yang kupesan tidak memenuhi ekspektasiku. …;4;21/03/25 14.24
22;2;3;Dateng pas sangat kosong. Jam 3 sore. Staff sangat ramah, tempat sangat bersih. Suka! Toilet juga sgt bersih. Staff menjelaskan dengan baik tentang makanan. Dan banyak varian alkohol. Rasa makanan sesuai deskripsi. Jika harus datang lagi, …;4;28/01/25 05.17
23;3;3;Awalnya ga kepikiran ada resto jepang baru yg interiornya lucu, karena penasaran akhirnya datang. …;4;26/01/25 13.14
24;4;3;Pesan Hiroshima Okomiyaki dengan isi soba dan pork. Enak rasanya dan porsinya besar bisa untuk sharing ber 2. Chicken namban nya juga juicy.;4;08/05/25 03.51
25;5;3;Datang kesini karna lihat deket banget sama tempat SPA, tempatnya nyaman, pelayanan ok banget, untung banget pas datang lagi ujan dan tempatnya gak bikin kedinginan. …;4;22/01/25 22.06
26;6;3;So far tempatnya nyaman terus menunya enak, authentic japanese. Wajib coba sih okonomiyakinya ya;5;31/08/24 12.47
27;7;3;Makanan nya enak semua Sashimi ,Yakitori ,Okonimiyaki enak bangett Suasana resto nyaman ngga krodit ,cocok buat makan bareng keluarga dan temen …;3;28/02/25 10.54
