review_id;user_id;restaurant_id;review_text;rating;timestamp
1;1;1;Gak nyangka tempat secakep & semewah ini ternyata harganya affordable banget, rasa makanannya pun diatas ekspektasi, berbumbu & medok sesuai lidah indonesia😍 ada paket Afternoon Tea for 2 cuma 250k++ worth it banget sih, cocok buat nongki cantik bareng bestie🫶🏻 …;4;13/12/24 23.49
2;2;1;tempatnya bagus, makanan nya murah karena pakai promo bank BCA, enak juga makanan nya. terus ramah banget pelayan nya dikasih free 1 dessert yang enak banget. bakal coba terus kesini karena pelayanan nya baik;3;13/11/24 20.01
3;3;1;Vibes nya asik! Memang spot ini utk occasion yg lebih intimate, dikarenakan design pencahayaan menunjukkan hal tsb. Ada bar juga yg tersedia di sudut ruangan. Kemudian ada juga …;4;19/07/25 08.51
4;4;1;Jujur, makanannya enak semua! Untuk appetizer, gue nyobain light bite platters yang isinya kentang, ayam, dan cumi dengan tiga jenis saus—dan semuanya mantap. Main course-nya gue coba black squid ink pasta. Buat gue yang suka seafood, ini …;5;03/10/24 20.40
5;5;1;Weekend ini dinner bersama keluarga disini setelah sekian lama. Surprisingly makanannya enak banget. Dan ada promo weekend.;4;17/05/25 05.19
6;6;1;Casual Dining Resto at Senopati Berlokasi di Jl. Tuludong Atas, kawasan Senopati. Tempatnya tersedia indoor area, non smoking bar dan semi outdoor/smoking area. …;4;11/09/24 08.10
7;7;1;Restoran ini sepertinya udah terkenal banget dengan tempat untuk casual dining. Dengan vibenya yang lumayan high class dan servicenya yang ramah dan gercep! Tapi dari harganya menurutku lumayan tergolong mahal banget☺️ …;3;01/09/24 21.33
8;8;1;Ramadhan Special Menu Di William's selama bulan Ramadhan lagi ada special menu. Menu yang dipesan: 1. Bakwan Jagung Rp40.000 2. Tahu Isi Rp40.000 Untuk isian tahu nya banyak, garing …;3;06/03/25 17.01
9;9;1;Casual dining resto at senopati. Ambience dan service yang sangat baik sudah dirasakan dari awal masuk. Menu yang disajikan beragam dari asia, western, buat yang sekedar nongkrong buat minum juga oke. …;3;04/12/24 01.02
10;10;1;Reserve untuk xmas dinner, tetapi suasananya kurang terasa. Saran untuk reserve special moment bisa dikasih greeting card.;4;15/10/24 06.14
11;1;3;Resto Perancis. Menu-menu nya French punya. Nama-nama french. Vibesnya asik, remang remang gelap, fancy gitu. Ada buanyak pilihan beverages: coffee, tea, wine, dll. …;3;12/08/24 10.59
12;2;3;Restoran makanan italy yang nyaman dan menyajikan makanan yang enak. Saya memesan daging Encrote untuk sharing dan pasta. Dagingnya sendiri disajikan dengan kematangan yang pas lengkap dengan grill veggie dan potatto gratin. Semua disajikan …;5;08/06/25 21.10
13;3;3;Enak bgt, bintang 3 utk makanan krn utk yg muslim, hati2 ada menu pork nya, utk harga, kl bukan d traktir, mending nabung yg banyak deh;5;02/11/24 08.58
14;4;3;Salmon parmesan pasta & steak sangat recomended. Untuk pizza, biasa aja (sedikit hambar) menurut ku pribadi. For desserts aku pesen tiramisu and soufflé chocolate turns out the soufflé …;3;18/12/24 16.46
15;5;3;Makanan enak semua. Kita coba pork belly, croque madame, steak au poivre, aglio olio, serta salah satu pizza. Kopinya juga lumayan. Agak berisik. Kalau untuk urusan kantor lebih baik agak pagi untuk breakfast atau brunch.;5;28/04/25 15.06
