review_id;user_id;restaurant_id;review_text;rating;timestamp
1;1;1;Sering banget lewat Pegangsaan, entah kenapa baru hari ini memutuskan untuk mampir kesini, berasa dipanggil sama rayuan putri duyung buat masuk kesini. …;4;11/04/25 14.48
2;2;1;Nice japanese food di Kelapa Gading. Harganya lumayan mahal, tapi sesuai dengan porsinya yang besar. Semua menu yang di pesan gak ada yang gak enak. Hanya yang unagi don nya agak eneg, karena sauce nya dan porsinya yang besar. …;5;05/01/25 02.24
3;3;1;Menunya enak semuaaaa Kesini pesen: Tobiko canape (8/10) --> kulit luarnya ada seaweed crispy ada isian nasi dan …;4;21/11/24 11.53
4;4;1;Pas datang kaget tempatnya agak tersembunyi ya. Tapi parkiran oke. Restorannya juga bersih dan nyaman sekali. Ada private room juga. Cocok banget buat kaum introvert yg ga suka …;5;23/03/25 01.45
5;5;1;Nyobain tempat baru makanan jepang, ternyata makananya enak, so comforting food untuk donburi, rasanya so so di lidah gak ada yg dominan, tempatnya warmny dan nyaman, enak buat ngumpul atau intim sama pasangan. Rekomendasi resto jepang yang cozy buat dikunjungin with ummami food 😋 …;5;04/12/24 19.01
6;6;1;Semua makanan nya enak2.. Gak ada yg failed.. Bahkan pickle jahe Merahnya enak.. Porsinya ngenyangin.. Pelayanan ramah.. Tempatnya nyaman bgt.. Harga sangat affordable.. Hojicha nya enaakkkk ada wangi2 sangitnya.. Eh mm..;5;03/02/25 05.32
7;7;1;Sungguh hidden gem di Kelapa Gading! Makanannya enak semua dari appetizer sampai dessert ga ada yang gagal. Staff gercep dan ramah. Ada private room tapi harus booking dahulu, tempatnya minimalis dan cantik cocok untuk acara juga. Super recommended, worth the price 👍😍 …;4;17/09/24 21.59
8;8;1;enak bangett, salmon canapenya juara umum sih ini. norinya bener2 crunchy & salmonnya juga enaak bgt. genmaichanya juga enak ada wangi2 smokynya gituu, bakal balik kesini sih!;5;15/06/25 22.32
9;9;1;Kami pesan salmon aburi sushi, oyakodon dan soft shell crab. Semua yang kami pesan enak terutama garlic edamamenya. Kalau untuk matcha latte agak terlalu pekat. Tapi overall makanannya enak-enak dan pelayanannya ramah!;4;03/09/24 12.15
10;10;1;Kayanya ini bisa dibikang hidden gem yaa soalnya tempat masuk nya kecil tp parkirannya luass. Fav aku hotate yaki, dan harus coba chukka idako nya enak bgtt. Ga enek, manisnya pas duh semuanya pas deh. Tempat nya warm and cozy, aku dtg sendiri juga nyaman bgt. Best sushi di daerah pulogadung sih ini👌🏻 …;5;03/12/24 13.39
11;1;2;Restauran nya kapasitasnya cuma 1 meja, kalau penuh, biasa disuruh duduk di cafe seberang, harga per menu memang lumayan mahal, tapi porsinya besar, dagingnya juga banyak, terakhir datang ada menu ukuran kecil untuk 1 orang makan.;5;24/02/25 12.03
12;2;2;Cobain chicken nanban dan yawaraku curry, bumbunya pas, side dish nya juga lengkap, enak banget dimakan anget2. Next mau cobain menu lain. Worth to try 🫶🏻 …;3;15/12/24 11.42
13;3;2;IG : thehandsofcuisine Weekend kali ini aku cobain JAPENESE PREMIUM BENTO dari HOTARU DELI. Hotaru Deli …;5;10/02/25 06.17
14;4;2;Makanan Jepang yang seringnya dikirim kerumah, ngga makan di tempat. Pengalaman makan dari resto ini boleh dijagoin, istilah harga mahalan tapi porsi besar pas kalo disematkan ke Hotaru Deli. …;3;09/12/24 08.34
15;5;2;Japanese Ricebowl ter worth it dan ter enak so far menurut aku. PREMIUM BANGET. Lokasi di samping Lobby Barat ITC PERMATA HIJAU. Please order yang unagi&salmon don + sukiyaki nya.;4;10/07/25 21.52
16;6;2;Holaaa Gaes jangan lupa Makan ya . Kali ini makanan aku dari hotaru deli Yang merupakan spesialis di premium bento . Disini varian bentonya beragam dan menggiurkan loh gaes , diantara 5 varian aku cobain : …;5;06/02/25 21.23
17;7;2;WOOHOO!!!! Ada sisterhoodnya shabu shabu house nih, yang ini premium bento! Ada beberapa pilihan menu yang menggugah selera dan kali ini aku pilih: 1. SUKIYAKI: De best!!!! Huge portion. Komplit juga isiannya ada enoki, shitake, …;3;22/06/25 01.37
18;8;2;"Dapet recommended dari temen untuk mesen makanan di Hotaru Deli, yg katanya sisterhood shabu"" House, but ini premium bento gtuh. Kebetulan aku pesen 3 menu and this is it: …";4;06/12/24 21.18
19;9;2;Wagyu Sukiyaki dagingnya empuk, rasa bumbunya juga enak.. berasa bgt premium nya 👍🏻 Chicken Katsu Curry juara! Karinya super mantab bener2 khas jepang bgt rasanya! Trus porsinya banyak, jadi puas bgt deh😀👍🏻 …;3;15/06/25 23.52
30;1;4;24 MEI 2025 JAPANESE WAGYU 5O GR enak KARUBI 100 GR enak agak berminyak …;5;06/08/24 08.09
31;2;4;pelayanan ramah, makanan enak seperti biasa yakiniku like, tempat juga bersih dan rapi, suasananya jg tenang. top banget;3;01/05/25 12.56
32;3;4;Kalau mau makan bbq-an tapi gamau ayce bisa makan di sini. Perdagingannya sama kaya di kintan, harganya masih terjangkau dan ngenyangin banget. Kesini pas lagi ulang tahun jadi dapet diskon 30% pakai boga app. Makan berdua abis 156k udah cukup puas;4;23/01/25 09.50
33;4;4;Makanan enak seperti biasa, potongan dagingnya lagi gendut-gendut hari ini. Service ramah dan promo lain daripada outlet lain. Hari ini gorengannya agak minyakan tapi overall selalu seru makan di sini;3;03/10/24 12.38
34;5;4;tempat yakiniku yang relatif murah, enak, dan ngenyangin banget padahal porsi nya set dan nggak all you can eat. disediain tempat buat taruh barang juga jadinya enak duduk leluasa;5;20/04/25 09.30
35;6;4;Pelayanan semua staff restonya bagus, ramah, dan cepat sat set, makanan udah nyampe di meja. Utk kak wulan makasih.;4;13/04/25 10.12
36;7;4;Rasa daging berkualitas, pilihan saus cukup dan enak semua. Banyak promo di tiap event ☺️;4;06/11/24 10.31
37;8;4;Klo kebersihan,pelayanan,dan makananya gk perlu diraguin lagi ya hehehe;3;09/04/25 08.25
38;9;4;Enak dateng siang2, ga pake antri.. 😄 Overall oke, nasi pilih yg large ga ada tambahan biaya.. 😁. …;4;02/06/25 14.32
