review_id;user_id;restaurant_id;review_text;rating;timestamp
1;1;1;Cocok untuk makan keluarga. Setelah renovasi tempat jadi lebih bagus, terang, dan nyaman. Kemarin minta di ruangan dan cukup luas, meja bulat, muat 12-14orang. Makanan juga enakenak. Dan ku suka sama petugasnya, baik, ramah, sopan, dan …;5;12/11/24 01.11
2;2;1;Good food. Ikan gurame asam manis enak. Cumi goreng oke. Nasi goreng enak, smoky. Kodok mentega enak rasanya. Suasana oke, pelayanan baik. Terimakasih;3;05/11/24 02.58
3;3;1;Restoran keluarga yang cozy, ambience sangat menyenangkan ditemani dengan alunan musik chinese flute. Makanan legendaris Ikan Jelawat yang sudah sangat terkenal bertahun-tahun. Recommended buat kumpul bersama keluarga;3;09/06/25 04.29
4;4;1;Restoran favorit dari jaman masih kecil dan rasanya masih sama kayak dulu. Ada beberapa menu yang aku pesen …;5;09/07/25 14.46
5;5;1;Merayakan hari special di sini, makanan enak dan mama paling suka buncis sama bebeknya. Mantep banget,,, kita juga pesen udang mayonaise enak banget garing dan ikan jelawatnya ga amis seger banget. Rekomen deh,,, servicenya juga oke dan ramah. Lanjutkan best servicenya dan rasa makanan yg enak..;4;14/06/25 15.23
6;6;1;Restoran keluarga yang sudah lama banget di sunter. Tiap kali ada acara makan2 pasti ke sini. Rasanya nggak pernah berubah, selalu enak. Yang favorit gurame asam manis, sapo tahu dan nasi goreng sze chuannya. Top banget porsi dan harga sesuai.;5;21/12/24 09.45
7;7;1;Kami suka makan bersama keluarga di Family Ria. Kami pesan ciang mie fuyunghai dan sup hipio. Paling favorit sup hipio nya. Kaldu berasa. Ngga ada foto karena sudah habis duluan.;3;20/02/25 20.01
8;8;1;Makanannya enak enak semua. Pelayanan cepat, makanan juga cepat datang;4;29/09/24 00.19
9;9;1;Tempat & suasana nyaman, makanan enak 😍👍 …;4;25/03/25 04.13
10;10;1;Makan malem cobain nasi goreng seafood dan tumis taomiao. Overall enak. Nasi goreng seafood, sayang udangnya ada yang kurang fresh, pas digigit ga …;3;25/05/25 12.34
11;1;2;Soal rasa,biasa2 aja. Pecel premium lah. Harga tergolong overpriced mnrt aku. Ttg service dan ruangannya,cukup bagus.;5;29/07/24 02.59
12;2;2;Porsinya oke ya. Penyajian cepat. Yg wajib order kesini tu pakis cah terasi n bebek asap. Ini enak semua. Kudu sama nasinya biar perfect kenyangnya. Bebeknya ga bau n ga alot. Ad bumbu kentalnya yg bikin berasa gurih dimakannya. Untuk se …;3;18/12/24 01.26
13;3;2;Katanya ini resto legend untuk orang ponti ya ... Order tim ikan jelawat (asal kalimantan)? .. sisiknya katanya enak jgn minta dibuang ya .. coba sisiknya lumayan aja kurang suka ...daging ikannya cukup enak ... Pesen bihu seafood .. ini …;5;24/04/25 17.00
14;4;2;Okee ud lama sekali gak kesini mungkin diatas 4thn lalu terakhir mkn disini walopun deket agak kurang tertarik karena taunya dulu gak ada menu babi di sini, ok sebut aja gue kolot tapi menurut gue Chinese food yg betul itu ada menu babi nya …;3;31/05/25 01.05
15;5;2;Masakan Pontianak yg harganya reasonable, suasana nyaman, AC, toilet bersih, service attentive. di sini bs order pakis 😁hekeng dan ayam goreng kering enak. …;4;24/04/25 07.26
16;6;2;Mie gorengnya agak oily dan sedikit asin.. kuah dan sayurannya ok, baso ikannya lain daripada yang lain..selalu enak dan tidak amis sama sekali 👍👍 Semoga pelayananan bisa lebih cepat respon ☺️ …;3;07/03/25 19.58
17;7;2;Restoran besar, bersih dan nyaman. Rasa makanan enak, staff ramah, cocok untuk makan bersama keluarga pada acara acara khusus;5;28/01/25 04.33
18;8;2;Kuah ikan lais nya mantap banget, rasanya seger, asem, pedes, gurih.. sedap deh pokoknya.. cumi goreng tepungnya juga mantap, empuk dan gak amis.. snow ice berry nya juga enak, es nya lembut rasanya seger.. untuk ayam thai nya menurut saya ga perlu pake timun, bikin rasanya jd kurang. Pdhal udah enak banget..;3;17/06/25 06.17
19;9;2;Bagi orang pontianak ... makanan disini mengingatkan selera asal dari mereka .. banyak masakan rumahan yg disajikan dengan penampilan yg baik... kuah ikan asam pedesnya juaraaa banget, ada juga sapo hisit... perlu dicoba;4;03/09/24 14.17
20;10;2;Nice n delicious food. Cozy place. Masakan fav adalah tumis sayur pakis. Harus pesan dulu kalau mau makan pakis di weekend. Tanpa pesan, saat lunch time sudah habis pakisnya. Tofu hotplate, daging sapi saus mandarin, ikan bumbu Thai dan kodok goreng mentega, hekeng, ikan kerapu ala Hong Kong, ayam goreng kering semuanya lezat... 👍👍 …;3;19/08/24 12.31
21;1;3;Makanannya biasa/lumayan/ok, mengingat banyak resto Chinese Food lain yang enak juga. Tapi yang jadi highlight adalah harganya yang lumayan overpriced. Dan resto tidak menuliskan harga makanan di menu, yang bikin deg2an. …;5;25/09/24 20.34
22;2;3;Ini kunjungan sudah kesekian kali. Biasanya datang karena ada yang ultah, jadi senang makan rame-rame, kenyang …;4;20/01/25 18.18
23;3;3;Dalam rangka kumpul teman sekolah,pilih di Restaurant Chung Hwa ,Kalau untuk pribadi baru pertama kali. Parkir pilih dimana saja ditempat yang ada ruang sepanjang ruko bila lagi penuh.Ruang makan ada beberapa meja bundar. Mungkin ada 10 …;4;01/09/24 05.19
24;4;3;Salah satu restoran chinese food klasik legendaris di Indo nesia dengan reputasi baik sejak zaman dulu. Masakan nya orisinil dan enak-enak. Saya coba sop gurame, nasi goreng capcay dan lumpia nya.;3;09/02/25 02.15
25;5;3;Non Halal. (1928). Chinese Restaurant lama di daerah Sunter. Menghidangkan jenis masakan classic dan basic peranakan. *Saklon Goreng Mentega, bahan segar dengan bumbu dan mentega yang pas dan …;4;19/06/25 07.56
26;6;3;Sup Ikan Gurame dan babi keluyuknya paling enak, tahu cabe garamnya jg enak. Puyunghai , lumpia udang dan lindung cah fumaknya biasa aja. Ayam rebusnya enak.;4;16/05/25 23.00
27;7;3;Gurame saus Thailand nya mantap!! Service cepat, masaknya juga cepat walaupun kondisi resto sedang ramai. Salah satu family restaurant yang recommend.;3;21/01/25 03.38
28;8;3;Langganan kalo lagi laper kesini…dekat sama toko audio ternama Dynamics Autosound;3;06/12/24 11.48
29;9;3;Menu beragam dan enak, ruang makan nya jg cukup luas. Hanya agak mahal disini. Yg lain ok.;5;02/12/24 07.55
30;10;3;Recomended sekali, baik untuk acara maupun dinner, makanannya enak enak...Tip Performance taste food....;5;27/01/25 01.27
31;1;4;Makan berdua 3 menu, kena 4 merah kurang 20 rb. Hati2 kalau makan di sini, apalagi kalau cm berdua istri atau sama anak, karena porsi terkecil mereka itu untuk 3 - 4 orang. Juga harga ga tertera ya.. jd siap2 aja. Saya jg ga tau itu apakah …;5;12/09/24 20.37
32;2;4;Ruangannya cukup luas, tempat masaknya ada di samping luar. Makanannya sih ok.. Bihun gorengnya yang kurang enak. Babi hong dan lindung cah fuma rekomended..;4;26/07/24 11.06
33;3;4;Makanannya enak2 semua cocok sama selera saya, rasanya strong bukan yang gurih micin, on point rasanya pas ga kekurangan bumbu ga over juga, …;4;14/08/24 15.06
34;4;4;Chinese food yg bener2 cocok dg selera keluargaku. Never failed! Selalu pesen paikut goreng madu dan selalu enak..rasanya ga pernah berubah 👍🏻 tp klo bole saran space lantai atas dibuka apalagi pas peak hour. …;4;09/08/24 14.09
35;5;4;Review berdasarkan pengalaman berkunjung kami di bulan Juli 2024. Salah satu restoran Chinese yang juga sudah berdiri lama. Dari tahun 2010-an …;5;12/12/24 09.26
36;6;4;A Hwuat gak bikin Bohwat. Mantep si makanannya dan servicenya cepet banget 👍 salut sama speed servicenya. Porsi juga pas. Semangat terus A Hwuat. Legendary Chinese Restaurant. Parkir gampang di depannya banyak parkiran. Toilet oke. …;5;22/02/25 02.29
37;7;4;Tersedia porsi S,M dan L kalo untuk 4 org ukuran S sudah cukup,rasa enak,favoritnya ayam semboy,untuk bakut goreng madu nya empuk banget,cumi goreng gandum juga enak;4;15/10/24 17.16
38;8;4;Makanan enak, bumbu2 enak. Tempatnya padat, orang dateng terus. Pesan: …;4;23/08/24 22.07
39;9;4;makanannya enak servicenya ok cuma ada satu hal yang bikin saya khawatir. disini mereka nyimpen lele raksasa mekong 4 ekor di aquarium sempit, dan ikan itu statusnya kritis hampir punah. lele tsb harusnya bisa sampe 3 meter, tapi di …;4;11/05/25 10.10
40;10;4;Non Halal. 070624. Salah satu old-fashioned Chinese Food di Kelapa Gading. …;5;31/01/25 03.31
41;1;5;Sudah beberapa kali makan di tempat ini. Paling suka menu babi hong nya. Dagingnya lembut, lumer di mulut, asinnya juga pas. …;3;26/06/25 14.03
42;2;5;Untuk lindung fumak tetap paling enak yg di pusatnya,specialnya babi hong,cangkong kepiting,bakmi goreng,tersedia ruangan VIP;3;30/08/24 14.07
43;3;5;Pas makan nemu rambut di nasi gorengnya,tapi langsung diganti baru sama kapten nya yg cowo. Oh ya utk lumpia nya maaf kurang enak,kebanyakkan tepung gk seusai jadi nyesal pesannya;5;08/05/25 10.50
44;4;5;Salah satu Angke fav sih, gede, nyaman, dan enak;5;18/09/24 22.46
45;5;5;Salah satu restoran legend favorit keluarga. Pastinya sudah tidak diragukan lagi kualitas rasa & kebersihan tempatnya. Makanan yang kami pesan : …;4;11/07/25 18.48
46;6;5;Angke tidak pernah mengecewakan. Selalu good service dan makanan yang luar biasa. …;3;01/07/25 04.08
47;7;5;Restoran Angke MOI 1. VIP room 10, lantai M, ada 2 tables, ruangan baru, agak sedikit sempit tapi bagus dekornya. Ada fasilitas karaoke juga disini …;5;19/05/25 05.41
48;8;5;10/11/2024 - Ngga nyobain makanannya karena non-halal ygy. Kesini karena ada acara sangjit sodara. Kalo dari ambiencenya cozy ya, mba2 dan mas2nya jg very helpful. Ada 4 lantai, lantai atas berbentuk room2 gitu memang dirancang utk pesta2, …;4;19/10/24 09.56
49;9;5;Makanannya enak2,, Pelayanannya baik dan ramah,, Ada room private untuk acara keluarga..;5;16/11/24 19.32
50;10;5;Chinese food classic. Sudah terlampau lama tidak makan di restoran ini, terakhir pas masih SMP sepertinya. Berkesempatan makan lagi disini bersama keluarga dan pasangan, menu yang dipesan cukup banyak. Dari semua menu yang kami pesan, dari …;3;13/09/24 17.58
51;1;6;Restoran legend 1 ini pasti udah ga asing buat para orang tua. Restoran yg terkenal dengan sup kepala ikannya, merupakan salah 1 makanan …;3;06/06/25 10.37
52;2;6;Lokasi : Strategis di komplek Ruko Inkopal Balai Samudra seberang MOI. …;3;21/05/25 17.07
53;3;6;Kmren aku adain acara sangjit disini.. and pelayanannya baik banget! Very helpful❤️ Makanan di sini enak2 & porsinya besar! Untuk ukuran kecil bisa makan 2-3 org! …;4;07/09/24 14.01
54;4;6;Untuk makanan ok aja,lindung cah fumak terlalu asam,untuk bisa ditukar,paling enak sapi lada hitam,babi kuluyuk,mie goreng,nasi putihnya pulen enak,staffnya ramah,ada lift buat orang tua;4;12/05/25 09.11
55;5;6;Pertama kali cobain n cocok sm masakan2nya 👍🏻 Hakka style Chinese Food, masakan org Khek. Gedungnya ada 3 lantai, pelayanan cepat, ramah dan memuaskan. …;4;25/06/25 04.36
56;6;6;Enak banget!!! Sop ikan tahu dari dulu ga berubah rasanya, Cah Saklon nya juga enak makanan favorit saya, bisa bgt buat rekomendasi makan bareng keluarga/sahabat;4;18/05/25 11.50
57;7;6;Untuk sop ikannya sangat rekomen dgn harga 200an ribu bisa untuk 5 orang makan👍bakmi moyan juga rekomen dgn varian isi sfood dan porsinya banyak …;5;17/02/25 00.19
58;8;6;Sangat mahal jika dibandingkan dengan porsinya Pesan sapi cah kailan, awal datang hanya sapi cah BATANG Kailan, lalu waitress terima komplain dan dimasak ulang daunnya 💆‍♂️ …;3;03/11/24 02.17
59;9;6;Tadinya mau cari chinese food juga, cuma resto yg kami cari mungkin sudah pindah, lalu mampir ke sini. Staff ramah. Ada lift bagi orang tua yang tidak kuat untuk naik turun tangga. Makanan ya standard lah. Harga standard. Pelayanan oke. Cocok makan bersama keluarga. Lahan parkir oke. Berseberangan dengan MOI.;4;28/10/24 08.25
60;10;6;Ket: k=kecil s=sedang b=besar 1. Sop ikan tahu S 189k 5/5 …;3;25/11/24 05.30
61;1;7;Pertama kali mampir di Ahwa pluit, menu dan rasa sedikit berbeda dengan Ahwa Dutamas, mungkin karena Kokinya juga …;5;21/09/24 19.38
62;2;7;nasi campur legend.. kalau ke pluit mesti kesini makan nasi campur complete. harganya oke, porsinya pas, rasanya mantap;4;28/07/24 05.07
63;3;7;Babi2nya enak-enak must try.😋Babi mantau, recommended,😋😍 Hot plate tofu, babi panggang per ons/tergantung selera/kocek anda …;3;16/08/24 23.07
64;4;7;Salah satu restoran Chinese yang enak dan harga cukup terjangkau Edit: 29 Juni 2025, udangnya sekarang dikasih yang kecil. Beberapa bulan lalu masih dikasih udang yang ukuran gede;5;22/03/25 16.14
65;5;7;Udh beberapa kali ke sini tapi bru sekarang review makanan d sini. Salah satu resto legend dan terfavorit keluarga di pluit. Soal rasa masakan jngan di tanya. Semua rasa masakan yg ada d menu gk ada yg gagal …;5;24/05/25 13.47
66;6;7;Salah satu Chinese Food non-halal terbaik kalau menurut saya. Selalu ramai kalau jam makan, apalagi weekend. Uda sering banget makan disini. Tiap ada acara sering banget adain disini. Rasanya enak, harga juga worth it banget. Gurame asam …;5;07/10/24 06.54
67;7;7;Cocok dengan masakan di Resto ini. Ikan stim teo chew 5/5 …;5;02/05/25 08.05
68;8;7;Nunggu 1 setengah jam makanan cmn keluar bebek sama nasi? Meja lain yg dtg lebih telat uda pada makan. Ditanya cmn blg maaf ya lg diproses. …;3;09/03/25 19.26
69;9;7;Restoran Chinise food yang cukup enak, cukup nyaman dan otentik. Saat datang anda akan langsung di sajikan pemandangan bebek panggang dan beberapa daging yang di gantung. Tempat makanya akan selalu ramai di jam makan siang …;5;24/05/25 07.45
70;10;7;Healing Lunch Package By ahwa for 4-6 Pax mulai dari 298.000 , setiap jam 11.00-14.00 . Setiap paket lengkap dengan nasi putih , dessert , pilihan minuman teh tawar/es teh tawar/teh manis/es teh manis , dan dessert sesuai dengan pax nya . …;3;31/08/24 01.03
71;1;10;Kategori: Restoran Keluarga Makanan: Menyediakan Chinese food dengan porsi besar dan cocok untuk makan …;5;25/10/24 03.48
72;2;10;Ok pokoknya. Porsinya mulai dari small, medium dan large. Mun tahunya enak. Masih trasa rasa tahy putih nya …;3;09/05/25 17.51
73;3;10;Cobain foeklam lagi krn favorit keluarga. Ordernya yg itu2 aja sih. Dimsumnya ada bapao chasiu dan lumpia udang tim. Menunyabada brokoli cah sapi yg kuahnya gurih dan beefnya emouk. Gw order kie goreng. Enak sih sedap bgt. Mun tahunya agka …;3;22/07/24 19.28
74;4;10;Restoran keluarga yang saru ini awal nya skeptis kalau bisa enak cita rasa nya .. . Terus waktu masuk penampilan interior design nya bagus. Dekornya cakep. Jadi tambah pede bisa enak. Terus pas pesen menu menu nya juga lumayan variatif. …;5;29/05/25 12.11
75;5;10;makanannya enak semua, worth it dan recommended ayu gais ke foek lam;5;10/05/25 22.14
76;6;10;Cumi super empuk dan enak,gurami asam manis jg enak,ada dim sum juga;3;11/07/25 13.51
77;7;10;pelayanan perempuan, jutek judes main hape saat kerja, bad atitute membeda2 kan custumer evaluasi.;4;21/12/24 05.36
78;8;10;Menunya rata-rata enak, hanya nasinya yang perlu diperbaiki. Terlalu lembek, tidak cocok rasanya makan nasi dengan menu2 seperti ini.;4;02/03/25 12.48
79;9;10;Makanan nikmat, saus tiram sangat terasa, eel nya tidak amis dan sangat kriuk. Dimsum tidak perlu diragukan. Maaf foto tidak sempat diambil, terlalu fokua makan.;5;18/11/24 02.27
80;10;10;tempat nya bagus,pelayanan nya juga bagus ga lama,apalagi kalo di layanin smaa mba novi the best deh;4;19/03/25 08.58
