id_resto;name;category;latitude;longitude;harga_terendah;harga_tertinggi;description;reviews_count
1;Semesta by Remboelan;Restoran Indonesia;-62.292.435;1.067.687.314;N/A;N/A;N/A;10
2;Batik Kuring;Restoran Indonesia;-62.292.435;1.067.687.314;N/A;N/A;Restoran besar dengan ruang pribadi untuk pertemuan bisnis, menyajikan seafood & masakan tradisional Sunda.;10
3;Warsol (Warung Solo);Restoran Indonesia;-62.292.435;1.067.687.314;1;50.000;;10
4;Vong Kitchen;Restoran Prancis Modern;-62.292.435;1.067.687.314;N/A;250.000;Bistro kosmopolitan dengan menu yang dipengaruhi masakan global, bar elegan & teras terbuka.;10
5;Sofia at The Gunawarman;Restoran Mewah;-62.292.435;1.067.687.314;N/A;250.000;Restoran hotel menawan yang menyajikan makanan Italia, Prancis & Asia, plus koktail, di ruang elegan.;10
6;Rempah Bistro Pasific Place;Restoran Indonesia;-62.292.435;1.067.687.314;N/A;N/A;N/A;10
7;WARTEG TISHA;Warung tegal;-62.292.435;1.067.687.314;1;25.000;N/A;8
11;Sarang Oci, Restoran Manado - Bulungan;Restoran Manado;-62.292.435;1.067.687.314;N/A;N/A;Sajian berbagai pilihan makan Manado yg disiapkan dari bahan-bahan segar dan tetap mementingkan citarasa asli.;10
13;Lumpang Emas - Wijaya II;Restoran Indonesia;-62.292.435;1.067.687.314;N/A;N/A;N/A;10
14;Begor Pondok Suryo;Restoran Indonesia;-62.292.435;1.067.687.314;75.000;100.000;N/A;10
15;PA.SO.LA Restaurant;Restoran Prasmanan;-62.292.435;1.067.687.314;N/A;250000;Restoran Ritz-Carlton yang mewah dengan menu prasmanan segar, sarapan siang hari Minggu, dan jamuan teh sore.;10
16;Sate Madura Awie Senopati;Restoran Sate;-62.292.435;1.067.687.314;N/A;N/A;N/A;10
20;THE GARDEN OSTERIA;Restoran Italia;-62.292.435;1.067.687.314;N/A;250.000;N/A;10
