review_id;user_id;restaurant_id;review_text;rating;timestamp
1;1;1;Semua makanan Indonesia ngumpul di sini! Nyari ayam taliwang ada, tahu gejrot ada, mie kangkung ada, sampe kue lupis pun ada. Berasa keliling Indonesia versi gapake pesawat, ehe😄 …;5;04/11/24 13.38
2;2;1;Berkunjung di weekend lunchtime, cukup ramai tapi kebetulan kami langsung dapat seat. Pengunjung yang datang selanjutnya waiting list. Tempat makannya tidak terlalu luas, tapi didesain bisa menampung pengunjung semaksimal mungkin jadi …;3;07/09/24 02.00
3;3;1;Had a chance to become mystery guest for Semesta by Remboelan! Biasa meeting partner di Remboelan tapi kali ini berkesempatan untuk nyobain Semesta. …;3;26/01/25 04.55
4;4;1;Menawarkan masakan Indonesia, menunya beragam dan rasanya enak. Areanya luas, bisa untuk keluarga besar atau bersama tamu. Yang agak lama keluar itu nasi bakarnya, mungkin karena buat baru;3;20/05/25 12.45
5;5;1;Sudah beberapa kali kesini, makanannya selalu enak, kali ini coba Cumi Tumis Cabe Gresik dan Nasi Bakul Ayam Asap Klungkungan, minumnya Es Teh Manis & Es Teh Tawar, semuanya enak, tempatnya cozy banget, oiya lokasi restorannya ada di gedung Ashta lantai UG;5;25/06/25 03.31
6;6;1;Rating buat service dan kecepatan layanannya. Kalo makananya sih ya standar remboelan oke oke aja, tapi pelayanannya kadang server/waiternya suka skip orderan yang diminta langsung. Minta tambahan sambal ga dianter2 sampe harus minta ke …;5;29/08/24 19.22
7;7;1;Porsinya lumayan ya, bisa untuk sharing kok.. Kalau kalian Birthday H+1 Minggu bisa info ke resto yaaa 🤭 Thank you Remboelan …;4;29/07/24 05.03
8;8;1;Kenapa cuma ada di ashta ya padahal lebih suka ini dibanding remboelan :( nasi bakul ayam pandannya (Rp79k) enak banget, ga suka pete tapi pertama kali nyoba disini enak nambah aroma dan ga pahit. Ayam pandannya juga juicy dan fresh. Jamur …;5;21/02/25 23.04
9;9;1;Nyobain kesini karena ingin tau apa aja yang jadi signature, kebetulan juga beberapa kalo ke remboelan, tapi belum pernah ke semesta. . …;5;20/03/25 19.16
10;10;1;Nyobain 3 makanan, nasi kendil, gurame bakar, dan kepiting asokanya. Nasi kendil: Wajib cobain. Porsi bisa untuk 2 orang, rasanya medok, gurih, asin, pedasnya mantap. …;3;26/07/24 06.44
