id_resto;name;category;latitude;longitude;harga_terendah;harga_tertinggi;description;reviews_count
1;A&W Restoran - Rawamangun;Restoran Cepat Saji;-6.1947243;106.8888262;50.000;75.000;Resto cepat saji yang menyajikan root beer & float bernama sama, plus burger, ayam, hot dog & kentang goreng.;10
2;Wendy's Pacific Place;Restoran Cepat Saji;-6.2245279;106.8072721;N/A;N/A;N/A;10
4;Burger King Pemuda;Restoran Cepat Saji;-6.1925586;106.8788;25000;75000;N/A;10
5;Burgreens Express - Pacific Place;Restoran Makanan Sehat;-6.2244738;106.8076974;N/A;N/A;Restoran yang menyajikan aneka burger dan menu vegetarian sehat lainnya, serta jus.;10
6;KFC Pondok Bambu;Restoran Cepat Saji;-6.2209189;106.896706;25000;50000;Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.;10
7;SUBWAY - Rawamangun;Restoran Cepat Saji;-6.1954641;106.8888193;50000;75000;N/A;10
8;Taco Bell;Restoran Cepat Saji;-6.233157;106.7355283;50000;75000;N/A;10
9;McDonald's Pahlawan Revolusi;Restoran Cepat Saji;-6.2385597;106.8971313;25000;50000;Franchise makanan cepat saji klasik yang telah lama berdiri, terkenal dengan burger dan kentang gorengnya.;10
10;KFC Otista;Restoran Cepat Saji;-6.2367298;106.866309;25000;50000;N/A;10
12;KFC Jatinegara City Plaza;Restoran Cepat Saji;-6.2141872;106.8619856;25000;50000;Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.;10
13;Burger king;Restoran Hamburger;-6.2246961;106.850218;25000;50000;Franchise cepat saji terkenal yang menyajikan burger panggang, kentang goreng, dan milkshake.;10
14;HokBen kitchen Otista;Restoran Cepat Saji;-6.2287385;106.8643258;50000;75000;N/A;10
15;Richeese Factory Pahlawan Revolusi;Restoran Cepat Saji;-6.2256639;106.8963192;25000;50000;N/A;10
20;KFC Ciracas;Restoran Cepat Saji;-6.3281223;106.8629583;25000;50000;Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.;10
21;KFC Bandara Halim Perdana Kusuma;Restoran Cepat Saji;-6.2655126;106.8821177;50000;75000;Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.;10
22;Republic Kebab Premium - Pisangan Baru;Restoran Cepat Saji;-6.2112098;106.870226;1;25000;N/A;10
23;KFC Kemang;Restoran Cepat Saji;-6.2557535;106.7926431;25000;50000;Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.;10
26;Subshack Pemuda, Rawamangun;Kafe;-6.1938609;106.8849601;50000;100000;Jaringan restoran pesan di konter ini populer dengan roti panggang yang juga menjual sup, salad, dan lainnya.;10
27;KFC - Rawamangun Square;Restoran Cepat Saji;-6.1999748;106.8881075;25000;50000;Franchise restoran yang terkenal dengan ember ayam goreng, dan hidangan kombo, serta hidangan sampingan.;10
28;Richeese Factory Kalimalang;Restoran Cepat Saji;-6.2477914;106.9112454;25000;75000;N/A;10
