review_id,user_id,restaurant_id,review_text,rating,timestamp
001,001,001,"Saya pesan delivery, tapi ini pizzanya sama kayak di foto? Kering kerontang, kayak udah ditinggal berjam-jam, rasanya kayak sampah, parah banget.. Kapok, nggak bakal makan lagi!",4,2025-02-16 08:45:03
002,002,001,"pesen beef rusher, aroma pizzanya pas buka boxnya semerbak bangettt bnr2 menggugah selera, buat harga juga masih affordable banget. nyobain di blok m pas banget buat sharing sama temen2 🫶 …",3,2025-05-17 06:45:40
003,003,001,Capricciosa agak asin menurut saya Quattro formaggi enak,5,2025-03-02 11:17:18
004,004,001,"Pizzanya oke banget, enaakkk bangeett Buat nongkrong juga asiikkk😁👍🏼 …",5,2025-05-08 15:48:38
005,005,001,kalo mau cobain piza enak dateng aja ke sini. piza dengan tipe kering dengan tekstur renyah banyak pilihan rasa. tempatnya juga pas buat nongkrong.,5,2024-10-23 05:29:21
006,006,001,"Kudu wajib harus nyobain.. Pecinta thin pizza pasti suka.. Pizza pesto sama Yg chesse nya enak bngt2, bs extra toppimg pula..",5,2024-09-30 04:20:21
007,007,001,"Pizza nya enak, tempatnya enak buat ngechill bersih jugaa, pelayanan nya good dan ramah overall bintang 5 buat IL Forno Pizzeria",3,2025-03-21 06:03:23
008,008,001,"Romanian style piza Doughnya pas banget, topping sama sausnya enak. …",4,2024-09-21 03:06:01
009,009,001,"Good place, Pizzanya enak dan topping melimpaaah, pelayanannya juga ramahh dan bagus💗 …",4,2025-04-30 17:38:39
010,010,001,"the best pizza in town, enak banget, worth it dengan harga segini, dapat pizza yang authentic itali. 🤤 …",4,2024-09-05 23:30:42
